AutoCivil-Lab Research Log
[2026-03-11 13:00] Baseline | Model: RandomForestRegressor | RMSE: 2.90 | R2: 0.97 | Composite: 0.941 | Validation: WARN | Threshold established
[2026-03-11 13:20] Trial 043 | Model: LightGBM | n_estimators=450 learning_rate=0.2081 num_leaves=21 min_child_samples=12 subsample=0.7505 colsample_bytree=0.6991 | RMSE: 2.47 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 044 | Model: LightGBM | n_estimators=450 learning_rate=0.2023 num_leaves=16 min_child_samples=8 subsample=0.8082 colsample_bytree=0.7038 | RMSE: 2.44 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 045 | Model: LightGBM | n_estimators=450 learning_rate=0.189 num_leaves=16 min_child_samples=5 subsample=0.8056 colsample_bytree=0.6884 | RMSE: 2.41 | R2: 0.98 | Composite: 0.954 | Validation: WARN | ✅ New best
[2026-03-11 13:20] Trial 046 | Model: LightGBM | n_estimators=450 learning_rate=0.1786 num_leaves=15 min_child_samples=5 subsample=0.7974 colsample_bytree=0.6874 | RMSE: 2.43 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 047 | Model: LightGBM | n_estimators=450 learning_rate=0.1867 num_leaves=15 min_child_samples=5 subsample=0.8084 colsample_bytree=0.6374 | RMSE: 2.37 | R2: 0.98 | Composite: 0.954 | Validation: WARN | ✅ New best
[2026-03-11 13:20] Trial 048 | Model: LightGBM | n_estimators=400 learning_rate=0.1718 num_leaves=15 min_child_samples=5 subsample=0.8131 colsample_bytree=0.6132 | RMSE: 2.44 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 049 | Model: LightGBM | n_estimators=450 learning_rate=0.195 num_leaves=16 min_child_samples=5 subsample=0.8027 colsample_bytree=0.6585 | RMSE: 2.48 | R2: 0.98 | Composite: 0.952 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 050 | Model: LightGBM | n_estimators=350 learning_rate=0.1224 num_leaves=15 min_child_samples=8 subsample=0.7946 colsample_bytree=0.669 | RMSE: 2.50 | R2: 0.98 | Composite: 0.951 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 051 | Model: LightGBM | n_estimators=400 learning_rate=0.1915 num_leaves=63 min_child_samples=8 subsample=0.8212 colsample_bytree=0.6939 | RMSE: 2.58 | R2: 0.97 | Composite: 0.950 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 052 | Model: LightGBM | n_estimators=450 learning_rate=0.1945 num_leaves=15 min_child_samples=5 subsample=0.7791 colsample_bytree=0.6061 | RMSE: 2.40 | R2: 0.98 | Composite: 0.954 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 053 | Model: LightGBM | n_estimators=450 learning_rate=0.2122 num_leaves=18 min_child_samples=6 subsample=0.779 colsample_bytree=0.6037 | RMSE: 2.50 | R2: 0.98 | Composite: 0.952 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 054 | Model: LightGBM | n_estimators=500 learning_rate=0.1238 num_leaves=23 min_child_samples=7 subsample=0.7704 colsample_bytree=0.639 | RMSE: 2.43 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
